
2017-06-29T19:05:11.179Z - Scanning for potential splits
2017-06-29T19:05:11.194Z - Debuglevel: 0
2017-06-29T19:05:11.194Z - Press 'q' to exit.
2017-06-29T19:06:50.082Z - Debuglevel: 0
2017-06-29T19:06:50.097Z - Press 'q' to exit.
2017-06-29T19:06:50.114Z - Stock market closed days:function toString() { [native code] }
2017-06-29T19:06:50.114Z - Parsing websites for new listings matching todays date.
2017-06-29T19:06:51.801Z - Parsing stocklist: ./stocklists/nasdaq_stockholm.txt
2017-06-29T19:06:51.801Z - Parsing stocklist: ./stocklists/nasdaq_firstnorth.txt
2017-06-29T19:06:51.801Z - Parsing stocklist: ./stocklists/ngm.txt
2017-06-29T19:06:51.801Z - Parsing stocklist: ./stocklists/aktietorget.txt
2017-06-29T19:06:51.801Z - Number of stocks in lists: 837
2017-06-29T19:06:51.817Z - TickerList matched database, DB update not required.
2017-06-29T19:09:53.654Z - {"brokerStat":{}}
2017-06-29T19:09:53.655Z - Found data for stock (801/837): undefined, id: 171148
2017-06-29T19:10:01.237Z - Reached end of stock list! Parsed 837 stocks with 0 retries in 191.155 s.
2017-06-29T19:10:01.240Z - {"CAR":{"buyValue":152297550.8486,"sellValue":140798356.98000005},"Anonyma":{"buyValue":15976859227.820595,"sellValue":16129662620.631002},"NRD":{"buyValue":555770569.2459999,"sellValue":518635677.6899998},"NON":{"buyValue":610999513.8876002,"sellValue":610613675.6471996},"SBN":{"buyValue":50188759.73000001,"sellValue":58759816.295},"AIV":{"buyValue":9622370.41,"sellValue":8620186.9},"DDB":{"buyValue":323350670.03399974,"sellValue":202876832.49999997},"ENS":{"buyValue":800984876.3000004,"sellValue":752419139.0916008},"ABC":{"buyValue":181033949.82,"sellValue":126644653.32999997},"SWB":{"buyValue":427243449.87599987,"sellValue":555910862.7079998},"SHB":{"buyValue":305034627.2779998,"sellValue":382247699.2833996},"AVA":{"buyValue":1136916948.3109992,"sellValue":1058483086.377199},"AOI":{"buyValue":24042150.5,"sellValue":29434766.38},"LFB":{"buyValue":20644136.14799999,"sellValue":16115358.290000003},"AAL":{"buyValue":30594999.73,"sellValue":971882.31},"JYB":{"buyValue":3107566.291,"sellValue":4649541.28},"JEF":{"buyValue":9054318.2,"sellValue":12764581},"NYE":{"buyValue":15514921.98,"sellValue":18500754.300000004},"FOR":{"buyValue":2637386.4999999995,"sellValue":3303374.279999999},"SYD":{"buyValue":8637940.179999998,"sellValue":6418279.2},"KCM":{"buyValue":10798220.73,"sellValue":6907515.57},"NTF":{"buyValue":8427986.679000001,"sellValue":6687119.13},"MMX":{"buyValue":1877617.58,"sellValue":731915.9},"EPB":{"buyValue":34425353.089999996,"sellValue":18259875.058000006},"MGF":{"buyValue":1739888.76,"sellValue":852799.03},"POH":{"buyValue":2388814.43,"sellValue":24936891.37799999},"DNM":{"buyValue":43149939.77,"sellValue":23148056.67},"MWZ":{"buyValue":964389.568,"sellValue":334618.24},"PAS":{"buyValue":49159099.12000001,"sellValue":44871389.431},"WSL":{"buyValue":5792476.4399999995,"sellValue":4183342.48},"ARC":{"buyValue":13564842,"sellValue":15761280},"HCT":{"buyValue":638512.2,"sellValue":708716.3200000001},"EVL":{"buyValue":0,"sellValue":626700},"UBS":{"buyValue":17979683.820000004,"sellValue":12267345.630000003},"SGL":{"buyValue":1680605.6600000001,"sellValue":1833344.9699999997},"XTX":{"buyValue":14133426.989999998,"sellValue":14870831.140000002},"BRC":{"buyValue":10479157.35,"sellValue":13190552.769999996},"JMP":{"buyValue":1333531.1700000002,"sellValue":1709385.4300000002},"VFG":{"buyValue":6107254.83,"sellValue":7116969.140000001},"MSI":{"buyValue":50094918.276,"sellValue":57200603.97799999},"JPM":{"buyValue":14314867.592,"sellValue":20445374.522000004},"CSB":{"buyValue":7913206.809999998,"sellValue":16579510.340000004},"GSI":{"buyValue":12979739.1,"sellValue":20828837.869999997},"MLI":{"buyValue":64112261.76599989,"sellValue":58387681.84100002},"DBL":{"buyValue":24488442.8,"sellValue":50892916.61999999},"INT":{"buyValue":28186188.790000003,"sellValue":20492739.550000004},"SAB":{"buyValue":1578123.51,"sellValue":1104704.35},"NEO":{"buyValue":14136509.129999997,"sellValue":3620715.4359999993},"IAT":{"buyValue":3913451.9900000007,"sellValue":2834768.0199999996},"SGP":{"buyValue":3791227.05,"sellValue":3639554.190000001},"KEM":{"buyValue":462056.73,"sellValue":76740.07},"TMB":{"buyValue":850180.61,"sellValue":539457.162},"RBCE":{"buyValue":0,"sellValue":67033.23},"VON":{"buyValue":95500,"sellValue":0},"REM":{"buyValue":298919.08,"sellValue":368587.77},"SRE":{"buyValue":1007632.55,"sellValue":97218.59999999999},"HBC":{"buyValue":303072.44,"sellValue":102001.6},"AIR":{"buyValue":104138.20000000001,"sellValue":3635910.4},"ALM":{"buyValue":0,"sellValue":136760},"SFK":{"buyValue":111203.58,"sellValue":74526.17}}
2017-06-29T19:10:01.244Z - Scanning for potential splits
2017-06-30T20:33:25.982Z - Found no data for stock: TRAN A with name: transferator--a. Try and search for name change: 
2017-06-30T20:33:26.044Z - No new name found. Something else is wrong, skipping stock.
2017-06-30T20:33:26.136Z - Found no data for stock: TRAN B with name: transferator--b. Try and search for name change: 
2017-06-30T20:33:26.232Z - No new name found. Something else is wrong, skipping stock.
2017-06-30T20:33:27.154Z - Found no data for stock: WIEM with name: wiema. Try and search for name change: 
2017-06-30T20:33:27.201Z - Stock WIEM potentially delisted? No matching stock found on Ava search.
2017-06-30T20:33:27.201Z - No new name found. Something else is wrong, skipping stock.
2017-06-30T20:33:33.945Z - Reached end of stock list! Parsed 836 stocks with 0 retries in 150.213 s.
2017-06-30T20:33:34.571Z - Stock CHER B might be splitted, Yclose :304.5, change: -0.9, close: 60
2017-07-01T15:28:40.584Z - Stock STE A might be splitted, Yclose :111, change: 0.1, close: 111
2017-07-01T15:28:40.585Z - Stock SWEC A might be splitted, Yclose :214.6, change: 0.6, close: 214.6
2017-07-01T15:28:40.585Z - Stock TIEN might be splitted, Yclose :260.5, change: 2.1, close: 260.5
2017-07-01T15:28:40.586Z - Stock TREL B might be splitted, Yclose :192.3, change: 0.1, close: 192.3
2017-07-01T15:28:40.586Z - Stock VOLV A might be splitted, Yclose :143.9, change: 0.8, close: 143.9
2017-07-01T15:28:40.586Z - Stock VOLV B might be splitted, Yclose :143.6, change: 0.2, close: 143.6
2017-07-01T15:28:40.586Z - Stock WALL B might be splitted, Yclose :81.15, change: 0.9, close: 81.15
2017-07-01T15:28:40.586Z - Stock WIHL might be splitted, Yclose :178, change: 1.1, close: 178
2017-07-01T15:28:40.587Z - Stock ADDT B might be splitted, Yclose :160.5, change: 3, close: 160.5
2017-07-01T15:28:40.587Z - Stock ALIG might be splitted, Yclose :140, change: 4, close: 140
2017-07-01T15:28:40.588Z - Stock ARCM might be splitted, Yclose :335.5, change: 0.5, close: 335.5
2017-07-01T15:28:40.588Z - Stock ATORX might be splitted, Yclose :28.8, change: 0.3, close: 28.8
2017-07-01T15:28:40.588Z - Stock BEIJ B might be splitted, Yclose :233, change: 1.5, close: 233
2017-07-01T15:28:40.588Z - Stock BESQ might be splitted, Yclose :166.5, change: 0.5, close: 166.5
2017-07-01T15:28:40.589Z - Stock BIOG B might be splitted, Yclose :342.5, change: 3.5, close: 342.5
2017-07-01T15:28:40.589Z - Stock BIOT might be splitted, Yclose :57, change: 1.75, close: 57
2017-07-01T15:28:40.589Z - Stock BURE might be splitted, Yclose :98, change: 2.5, close: 98
2017-07-01T15:28:40.590Z - Stock CAPIO might be splitted, Yclose :51.5, change: 0.75, close: 51.5
2017-07-01T15:28:40.590Z - Stock CATE might be splitted, Yclose :135.5, change: 1.5, close: 135.5
2017-07-01T15:28:40.590Z - Stock CCC might be splitted, Yclose :31.5, change: 1.2, close: 31.5
2017-07-01T15:28:40.591Z - Stock CLA B might be splitted, Yclose :34.7, change: 0.2, close: 34.7
2017-07-01T15:28:40.591Z - Stock CLAS B might be splitted, Yclose :162, change: 2.5, close: 162
2017-07-01T15:28:40.591Z - Stock CLX might be splitted, Yclose :134.75, change: 1.75, close: 134.75
2017-07-01T15:28:40.591Z - Stock CORE might be splitted, Yclose :42.2, change: 0.6, close: 42.2
2017-07-01T15:28:40.591Z - Stock CORE PREF might be splitted, Yclose :146.5, change: 0.25, close: 146.5
2017-07-01T15:28:40.592Z - Stock CRED A might be splitted, Yclose :266, change: 0.5, close: 266
2017-07-01T15:28:40.592Z - Stock DCAR B might be splitted, Yclose :116.75, change: 0.25, close: 116.75
2017-07-01T15:28:40.592Z - Stock DIOS might be splitted, Yclose :46.6, change: 0.5, close: 46.6
2017-07-01T15:28:40.592Z - Stock DUST might be splitted, Yclose :70, change: 0.25, close: 70
2017-07-01T15:28:40.593Z - Stock ELTEL might be splitted, Yclose :29.2, change: 0.2, close: 29.2
2017-07-01T15:28:40.593Z - Stock FPAR PREF might be splitted, Yclose :336.5, change: 2, close: 336.5
2017-07-01T15:28:40.594Z - Stock HEBA B might be splitted, Yclose :112.5, change: 1, close: 112.5
2017-07-01T15:28:40.594Z - Stock HMED might be splitted, Yclose :215.5, change: 7.5, close: 215.5
2017-07-01T15:28:40.594Z - Stock HOFI might be splitted, Yclose :86.25, change: 0.75, close: 86.25
2017-07-01T15:28:40.594Z - Stock HUM might be splitted, Yclose :63, change: 1.5, close: 63
2017-07-01T15:28:40.595Z - Stock KAHL might be splitted, Yclose :45.7, change: 1.2, close: 45.7
2017-07-01T15:28:40.595Z - Stock KARO might be splitted, Yclose :43.5, change: 0.4, close: 43.5
2017-07-01T15:28:40.595Z - Stock LAGR B might be splitted, Yclose :92.25, change: 0.75, close: 92.25
2017-07-01T15:28:40.596Z - Stock MEKO might be splitted, Yclose :167, change: 0.5, close: 167
2017-07-01T15:28:40.596Z - Stock NETI B might be splitted, Yclose :6.55, change: 0.05, close: 6.55
2017-07-01T15:28:40.597Z - Stock NOLA B might be splitted, Yclose :316.5, change: 7, close: 316.5
2017-07-01T15:28:40.597Z - Stock NP3 might be splitted, Yclose :46.9, change: 0.3, close: 46.9
2017-07-01T15:28:40.597Z - Stock ONCO might be splitted, Yclose :76, change: 6.5, close: 76
2017-07-01T15:28:40.598Z - Stock ORES might be splitted, Yclose :154.5, change: 1.5, close: 154.5
2017-07-01T15:28:40.598Z - Stock ORX might be splitted, Yclose :27.3, change: 0.3, close: 27.3
2017-07-01T15:28:40.600Z - Stock PLAZ B might be splitted, Yclose :51.25, change: 0.75, close: 51.25
2017-07-01T15:28:40.600Z - Stock PROB might be splitted, Yclose :580, change: 33, close: 580
2017-07-01T15:28:40.600Z - Stock RAY B might be splitted, Yclose :235.5, change: 2.5, close: 235.5
2017-07-01T15:28:40.601Z - Stock RECI B might be splitted, Yclose :123, change: 1, close: 123
2017-07-01T15:28:40.601Z - Stock REZT might be splitted, Yclose :31.2, change: 0.9, close: 31.2
2017-07-01T15:28:40.601Z - Stock SCST might be splitted, Yclose :61, change: 3.5, close: 61
2017-07-01T15:28:40.601Z - Stock SECT B might be splitted, Yclose :173.5, change: 9.5, close: 173.5
2017-07-01T15:28:40.602Z - Stock SENS might be splitted, Yclose :0.785, change: 0.145, close: 0.785
2017-07-01T15:28:40.602Z - Stock SHOT might be splitted, Yclose :109.5, change: 2.75, close: 109.5
2017-07-01T15:28:40.602Z - Stock SVOL A might be splitted, Yclose :261.5, change: 4, close: 261.5
2017-07-01T15:28:40.603Z - Stock TROAX might be splitted, Yclose :222, change: 0.5, close: 222
2017-07-01T15:28:40.603Z - Stock VBG B might be splitted, Yclose :145.5, change: 2.5, close: 145.5
2017-07-01T15:28:40.605Z - Stock VIT B might be splitted, Yclose :72, change: 0.5, close: 72
2017-07-01T15:28:40.606Z - Stock VOLO PREF might be splitted, Yclose :623, change: 3, close: 623
2017-07-01T15:28:40.606Z - Stock WTX might be splitted, Yclose :86, change: 1, close: 86
2017-07-01T15:28:40.606Z - Stock XVIVO might be splitted, Yclose :99, change: 2.25, close: 99
2017-07-01T15:28:40.607Z - Stock ACTI might be splitted, Yclose :5.05, change: 0.12, close: 5.05
2017-07-01T15:28:40.607Z - Stock ARISE might be splitted, Yclose :13.45, change: 0.75, close: 13.45
2017-07-01T15:28:40.607Z - Stock ATEL A might be splitted, Yclose :18.5, change: 0.1, close: 18.5
2017-07-01T15:28:40.608Z - Stock AVEG B might be splitted, Yclose :25.4, change: 0.1, close: 25.4
2017-07-01T15:28:40.608Z - Stock BACTI B might be splitted, Yclose :25.2, change: 1.4, close: 25.2
2017-07-01T15:28:40.609Z - Stock CCOR B might be splitted, Yclose :13.2, change: 0.25, close: 13.2
2017-07-01T15:28:40.609Z - Stock CEVI might be splitted, Yclose :152, change: 5, close: 152
2017-07-01T15:28:40.609Z - Stock CRAD B might be splitted, Yclose :22.6, change: 0.4, close: 22.6
2017-07-01T15:28:40.610Z - Stock CTT might be splitted, Yclose :149.5, change: 2, close: 149.5
2017-07-01T15:28:40.610Z - Stock DEDI might be splitted, Yclose :120, change: 1.5, close: 120
2017-07-01T15:28:40.610Z - Stock DURC B might be splitted, Yclose :32.5, change: 1.1, close: 32.5
2017-07-01T15:28:40.611Z - Stock ELEC might be splitted, Yclose :60.75, change: 1.25, close: 60.75
2017-07-01T15:28:40.611Z - Stock ENDO might be splitted, Yclose :12.5, change: 0.1, close: 12.5
2017-07-01T15:28:40.611Z - Stock EPIS B might be splitted, Yclose :6.7, change: 0.1, close: 6.7
2017-07-01T15:28:40.612Z - Stock EWRK might be splitted, Yclose :101.5, change: 1, close: 101.5
2017-07-01T15:28:40.612Z - Stock FPIP might be splitted, Yclose :14.85, change: 0.2, close: 14.85
2017-07-01T15:28:40.612Z - Stock G5EN might be splitted, Yclose :255.5, change: 2, close: 255.5
2017-07-01T15:28:40.612Z - Stock GARO might be splitted, Yclose :240, change: 3.5, close: 240
2017-07-01T15:28:40.613Z - Stock ICTA B might be splitted, Yclose :29.4, change: 1, close: 29.4
2017-07-01T15:28:40.613Z - Stock KABE B might be splitted, Yclose :213, change: 3.5, close: 213
2017-07-01T15:28:40.614Z - Stock MOB might be splitted, Yclose :49, change: 0.9, close: 49
2017-07-01T15:28:40.614Z - Stock MQ might be splitted, Yclose :32.9, change: 0.3, close: 32.9
2017-07-01T15:28:40.615Z - Stock MSAB B might be splitted, Yclose :66.5, change: 0.5, close: 66.5
2017-07-01T15:28:40.616Z - Stock MSC B might be splitted, Yclose :2.14, change: 0.02, close: 2.14
2017-07-01T15:28:40.617Z - Stock NAXS might be splitted, Yclose :49.5, change: 0.7, close: 49.5
2017-07-01T15:28:40.617Z - Stock NOMI might be splitted, Yclose :0.289, change: 0.004, close: 0.289
2017-07-01T15:28:40.617Z - Stock NOTE might be splitted, Yclose :20.8, change: 0.7, close: 20.8
2017-07-01T15:28:40.617Z - Stock OASM might be splitted, Yclose :3.26, change: 0.01, close: 3.26
2017-07-01T15:28:40.618Z - Stock ORTI A might be splitted, Yclose :24.9, change: 0.4, close: 24.9
2017-07-01T15:28:40.618Z - Stock ORTI B might be splitted, Yclose :3.37, change: 0.07, close: 3.37
2017-07-01T15:28:40.618Z - Stock PACT might be splitted, Yclose :204.5, change: 1.5, close: 204.5
2017-07-01T15:28:40.618Z - Stock POOL B might be splitted, Yclose :14.7, change: 0.1, close: 14.7
2017-07-01T15:28:40.619Z - Stock PREC might be splitted, Yclose :2.7, change: 0.02, close: 2.7
2017-07-01T15:28:40.619Z - Stock PRIC B might be splitted, Yclose :9.85, change: 0.1, close: 9.85
2017-07-01T15:28:40.619Z - Stock PROF B might be splitted, Yclose :119, change: 1.25, close: 119
2017-07-01T15:28:40.620Z - Stock SVED B might be splitted, Yclose :44, change: 0.3, close: 44
2017-07-01T15:28:40.621Z - Stock TRAD might be splitted, Yclose :5, change: 0.07, close: 5
2017-07-01T15:28:40.621Z - Stock AAC might be splitted, Yclose :4.81, change: 0.02, close: 4.81
2017-07-01T15:28:40.622Z - Stock ADDV A might be splitted, Yclose :2.9, change: 0.06, close: 2.9
2017-07-01T15:28:40.622Z - Stock ADDV B might be splitted, Yclose :2.02, change: 0.07, close: 2.02
2017-07-01T15:28:40.622Z - Stock ADVE might be splitted, Yclose :14.95, change: 0.45, close: 14.95
2017-07-01T15:28:40.623Z - Stock AGORA PREF might be splitted, Yclose :264.5, change: 7.5, close: 264.5
